intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeFixation,0,14,5.597972,0.1818754,0.8154003
GazeShift,14,25,33.78807,0.9512363,0.04903147
GazeFixation,25,53,27.8069,0.477563,0.529736
GazeShift,53,62,14.63453,0.6395664,0.3581585
GazeFixation,62,107,7.05872,0.4738285,0.5314527
GazeShift,107,122,9.080821,0.6733006,0.3503975
GazeShift,122,146,15.06913,0.6084075,0.3693126
GazeShift,146,163,26.44988,0.5995277,0.3860249
GazeFixation,163,180,9.85399,0.2746919,0.7296699
GazeShift,180,197,19.73493,0.5773768,0.4322809
GazeShift,197,209,28.03423,0.7890388,0.2024113
GazeFixation,209,285,31.64866,0.3028389,0.7099295
GazeShift,285,304,47.5531,0.7226414,0.2739098
GazeShift,304,310,42.73963,0.7937703,0.2216498
GazeShift,310,351,50.79415,0.6833122,0.3324287
GazeShift,351,361,59.76305,0.8676298,0.1222991
GazeShift,361,389,20.57538,0.5753826,0.4452092
GazeShift,389,406,14.47003,0.6553811,0.3368837
GazeFixation,406,517,21.71655,0.3794825,0.6299082
GazeShift,517,535,47.6352,0.798799,0.1880019
GazeShift,535,549,39.2995,0.7491366,0.2220196
GazeFixation,549,592,2.580278,0.4103539,0.5851482
GazeShift,592,604,17.5932,0.5920353,0.3897833
GazeFixation,604,609,6.506864,0.2625971,0.7387158
GazeShift,609,616,36.73448,0.8525773,0.1474226
GazeFixation,616,632,15.40488,0.3806124,0.622092
GazeShift,632,651,62.1531,0.7651932,0.2181635
GazeShift,651,670,21.23393,0.8022238,0.2177127
GazeFixation,670,695,13.01721,0.3245687,0.6832378
GazeShift,695,715,73.71128,0.8811754,0.1341245
GazeFixation,715,828,49.72976,0.4306927,0.5636647
GazeShift,828,844,41.72902,0.8474348,0.1685048
GazeShift,844,853,8.971129,0.6486813,0.3631163
GazeFixation,853,884,2.062604,0.06678943,0.9337714
GazeShift,884,896,14.2536,0.811652,0.1985917
GazeShift,896,911,62.93885,0.6525465,0.324604
GazeFixation,911,970,8.776665,0.3795837,0.6359677
GazeShift,970,984,11.26567,0.5808672,0.4154714
GazeFixation,984,1004,3.44651,0.2962533,0.7077368
GazeShift,1004,1041,68.25098,0.7244261,0.2648115
GazeShift,1041,1069,31.86511,0.5544744,0.4389512
GazeFixation,1069,1099,10.5652,0.5349495,0.4432752
GazeShift,1099,1136,39.25561,0.5855156,0.4073841
GazeShift,1136,1146,33.9881,0.6102291,0.3920771
GazeFixation,1146,1200,29.35025,0.4757699,0.5058213
GazeShift,1200,1211,26.03896,0.8597891,0.1678012
GazeShift,1211,1226,29.09499,0.7348928,0.2505039
GazeShift,1226,1250,63.1223,0.8317766,0.1731213
GazeFixation,1250,1293,8.156898,0.3994859,0.5951719
GazeShift,1293,1299,56.46671,0.7490342,0.2509659
GazeShift,1299,1311,31.66529,0.6778354,0.3514265
GazeShift,1311,1336,7.467187,0.5739065,0.4429153
GazeShift,1336,1362,47.36218,0.64269,0.3454467
GazeShift,1362,1380,35.01152,0.5981953,0.4148367
GazeFixation,1380,1427,9.590483,0.2296947,0.7671949
GazeShift,1427,1449,73.22246,0.7192755,0.2649366
GazeFixation,1449,1498,24.68426,0.4081593,0.5839461
GazeShift,1498,1506,5.672987,0.6348078,0.3922133
GazeFixation,1506,1530,4.186334,0.2923697,0.7059436
GazeShift,1530,1548,18.55748,0.6515362,0.3285191
GazeShift,1548,1568,12.31158,0.5838972,0.3989466
GazeFixation,1568,1620,28.36478,0.2958554,0.706457
GazeShift,1620,1631,62.08533,0.7783425,0.2372542
GazeFixation,1631,1678,35.44782,0.4565257,0.5419633
GazeShift,1678,1688,9.709259,0.7274301,0.2758691
GazeShift,1688,1712,96.72111,0.8068112,0.1772246
GazeFixation,1712,1729,3.518697,0.221989,0.7754301
GazeShift,1729,1747,18.54928,0.6046727,0.4008238
GazeShift,1747,1767,17.82384,0.6126684,0.3703132
GazeFixation,1767,1843,27.28908,0.4236997,0.590793
GazeShift,1843,1852,69.38995,0.6683747,0.316776
GazeShift,1852,1861,62.38962,0.8020206,0.2026268
GazeShift,1861,1875,23.51825,0.570134,0.4358111
GazeFixation,1875,1906,24.48228,0.4220753,0.5883269
GazeShift,1906,1942,56.84144,0.787636,0.2014878
GazeFixation,1942,1963,15.49158,0.3264108,0.6883235
GazeShift,1963,1971,56.4121,0.9183298,0.08083262
GazeFixation,1971,2004,22.24653,0.4106947,0.6025634
GazeShift,2004,2017,30.32054,0.7809237,0.2138178
GazeShift,2017,2027,20.52084,0.7978532,0.2353124
GazeFixation,2027,2040,8.448826,0.3854493,0.6114745
GazeShift,2040,2059,19.79628,0.5695736,0.3995155
